metric,duration_hours,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications,incident_zone_scenarios,sampled_node
nonincident_zone_mean_response_min,8.926724137931036,-0.018488949599295194,-0.0697723682175535,0.03279446901896312,9,10,False
nonincident_zone_mean_response_min,9.025862068965518,-0.019571234166290044,-0.0713733335838657,0.032230865251285615,9,10,False
nonincident_zone_mean_response_min,9.125,-0.02067060752752856,-0.07303473321837423,0.0316935181633171,9,10,False
nonincident_zone_mean_response_min,9.224137931034484,-0.02178598975248045,-0.07474811620108887,0.031176136696127975,9,10,False
nonincident_zone_mean_response_min,9.323275862068966,-0.02291630091061534,-0.07649921736423752,0.030666615543006842,9,10,False
nonincident_zone_mean_response_min,9.422413793103448,-0.024060461071402924,-0.07826898789946804,0.030148065756662193,9,10,False
nonincident_zone_mean_response_min,9.52155172413793,-0.025217390304312873,-0.08003485667302265,0.029600076064396914,9,10,False
nonincident_zone_mean_response_min,9.620689655172415,-0.026386008678814892,-0.08177215404794791,0.02900013669031813,9,10,False
nonincident_zone_mean_response_min,9.719827586206897,-0.02756523626437862,-0.08345565367709529,0.028325181148338045,9,10,False
nonincident_zone_mean_response_min,9.818965517241379,-0.028753993130473738,-0.08506122192486971,0.027553235663922235,9,10,False
nonincident_zone_mean_response_min,9.918103448275863,-0.02995119934656994,-0.08656760377055973,0.02666520507741985,9,10,False
nonincident_zone_mean_response_min,10.0,-0.030945801414746812,-0.08772534934209339,0.02583374651259977,9,10,True
nonincident_zone_mean_response_min,10.017241379310345,-0.031150188013016198,-0.08794257549608156,0.025642199470049167,9,10,False
nonincident_zone_mean_response_min,10.116379310344827,-0.03213053839403954,-0.08865823913159324,0.024397162343514155,9,10,False
nonincident_zone_mean_response_min,10.215517241379311,-0.03283632540462337,-0.08913505064976646,0.023462399840519725,9,10,False
nonincident_zone_mean_response_min,10.314655172413794,-0.0333468186323369,-0.09043880985249131,0.023745172587817512,9,10,False
nonincident_zone_mean_response_min,10.413793103448276,-0.03374128766474928,-0.09342045045373432,0.025937875124235753,9,10,False
nonincident_zone_mean_response_min,10.51293103448276,-0.0340990020894297,-0.09833420987459475,0.030136205695735344,9,10,False
nonincident_zone_mean_response_min,10.612068965517242,-0.034499231493947374,-0.10477999657625217,0.03578153358835742,9,10,False
nonincident_zone_mean_response_min,10.711206896551724,-0.03502124546587145,-0.11195128505135907,0.041908794119616156,9,10,False
nonincident_zone_mean_response_min,10.810344827586206,-0.03574431359277112,-0.11891914906156031,0.04743052187601809,9,10,False
nonincident_zone_mean_response_min,10.90948275862069,-0.03674770546221559,-0.12479935428215917,0.05130394335772799,9,10,False
nonincident_zone_mean_response_min,11.0,-0.03797588857805994,-0.12856822958303593,0.05261645242691606,9,10,True
nonincident_zone_mean_response_min,11.008620689655173,-0.03810853332831797,-0.12883745369317065,0.05262038703653471,9,10,False
nonincident_zone_mean_response_min,11.107758620689655,-0.03956688764933845,-0.13185003213066288,0.05271625683198597,9,10,False
nonincident_zone_mean_response_min,11.206896551724139,-0.04092672682330581,-0.13471679047499274,0.05286333682838114,9,10,False
nonincident_zone_mean_response_min,11.306034482758621,-0.04222380983820564,-0.13746097398652288,0.053013354310111595,9,10,False
