incident_zone,duration_hours,metric,B_N_mean,B_E_mean,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications
7,11.0,mean_response_min,38.816628738646294,38.392837963598865,-0.4237907750474312,-0.9821729497741467,0.1345913996792844,10
7,12.0,mean_response_min,51.82219085997392,51.425606318181835,-0.3965845417920704,-0.804910571433013,0.01174148784887219,10
8,0.5,mean_response_min,6.516177707384088,6.516177707384088,0.0,0.0,0.0,10
8,1.0,mean_response_min,8.016282236394268,7.991606699141603,-0.024675537252664092,-0.0804954805946721,0.031144406089343917,10
8,2.0,mean_response_min,9.153789234940913,9.153789234940913,0.0,0.0,0.0,10
8,4.0,mean_response_min,13.322958519056638,13.254078813091857,-0.06887970596478041,-0.22469642618444263,0.08693701425488182,10
8,5.0,mean_response_min,17.269354944027643,17.179047258687596,-0.09030768534004405,-0.29459786258775117,0.11398249190766307,10
8,6.0,mean_response_min,29.271327852661877,29.329100624708296,0.0577727720464285,-0.06984347151021195,0.18538901560306895,10
8,8.0,mean_response_min,53.875610384437735,53.91503268768563,0.039422303247887314,-0.06811837383725117,0.1469629803330258,10
8,10.0,mean_response_min,48.605687549795064,48.49859974251787,-0.10708780727719862,-0.45936273364355495,0.2451871190891577,10
8,11.0,mean_response_min,49.929302658013455,49.74187671470909,-0.1874259433043644,-0.9726143834661205,0.5977624968573918,10
8,12.0,mean_response_min,64.12547640538975,64.13313501339647,0.0076586080067208686,-0.05985300880799041,0.07517022482143215,10
9,0.5,mean_response_min,6.370950012641277,6.370950012641277,0.0,0.0,0.0,9
9,1.0,mean_response_min,6.17310305250552,6.259422308850903,0.08631925634538247,-0.10894846768373885,0.2815869803745038,10
9,2.0,mean_response_min,6.848766428937236,6.7929740650412835,-0.05579236389595188,-0.14840995634052623,0.036825228548622455,10
9,4.0,mean_response_min,7.0841630612827675,7.073516366747944,-0.010646694534823985,-0.03473119083690057,0.013437801767252597,10
9,5.0,mean_response_min,6.768036046513457,6.7682034181700015,0.00016737165654392427,-0.016457574321818245,0.01679231763490609,10
9,6.0,mean_response_min,7.692523031167729,7.647321046910801,-0.04520198425692827,-0.09947867668203798,0.009074708168181442,10
9,8.0,mean_response_min,10.256312300714523,10.155525398338998,-0.10078690237552106,-0.32128731977065556,0.11971351501961346,10
9,10.0,mean_response_min,7.225349650178546,7.219009222670342,-0.006340427508202939,-0.021438749202985975,0.008757894186580096,10
9,11.0,mean_response_min,7.474551955792745,7.401536708956378,-0.0730152468363678,-0.24613343954026184,0.10010294586752623,10
9,12.0,mean_response_min,8.51347250231506,8.507611783229338,-0.005860719085722987,-0.013950725623484234,0.00222928745203826,10
10,0.5,mean_response_min,5.597881370704645,5.597881370704645,0.0,0.0,0.0,9
10,1.0,mean_response_min,5.494816460079495,5.494816460079495,0.0,0.0,0.0,10
10,2.0,mean_response_min,6.183491703953677,6.193820953765055,0.010329249811377839,-0.013037136635762545,0.03369563625851822,10
10,4.0,mean_response_min,6.108412285208471,6.119002597228249,0.010590312019779002,-0.013366638172031993,0.03454726221159,10
10,5.0,mean_response_min,6.213854000393311,6.196165299616281,-0.01768870077703131,-0.0842474270783255,0.04887002552426289,10
10,6.0,mean_response_min,6.026067314446409,6.056580527942694,0.03051321349628582,-0.038512470974327986,0.09953889796689962,10
10,8.0,mean_response_min,6.730882520699095,6.699614956155047,-0.0312675645440474,-0.09823415315361891,0.03569902406552411,10
10,10.0,mean_response_min,5.630726673795112,5.645192428998326,0.014465755203214936,-0.018009249038997414,0.046940759445427284,10
10,11.0,mean_response_min,5.600985051210534,5.587353176793878,-0.013631874416655521,-0.0703271309260041,0.043063382092693045,10
10,12.0,mean_response_min,5.6827522952725475,5.66818866874423,-0.014563626528317908,-0.03892291881804347,0.009795665761407649,10
